Abel Bento
Luciana Malheiros
Luciano Castella
Lucrécia Telinhos
Lucília Ipiranga
Luize Ventura
Lurdes Belmonte
Lurdes Madruga
Luís Barcelos
Lázaro Macieira
Léia Ipanema
Lídia Menezes
Lígia Baía
Lígia Mederos
Lúcio Peralta
Madalena Brião
Madalena Mendoza
Mafalda Hernández
Magda Quental
Mamede Queirós
Marcela Imbassaí
Marcos Filipe
Maria Barrios
Marilda Jácome
Marlene Barreiro
Marília Tabajara
Matias Alves
Matias Mourão
Maurício Teles
Melissa Vigário
Moaci Garrido
Moaci Rodrigues
Moisés Pavía
Morgana Carqueijeiro
Murici Ferrera
Márcio Gómez
Márcio Rabelo
Máximo Saraíba
Máximo Valim
Mécia Betancour
Napoleão Fortunato
Nelson Felgueiras
Nicanor Horta
Nicolas Ventura
Nicolau Villas Boas
Nilza Ornellas
Odete Damásio
Ofélia Zagalo
Olavo Carrasqueira
Olavo Giménez
Oscar   Belmonte
Palmiro Núñez
Piedade Xavier
Políbio Téllez
Porfírio Queiroz
Quintino Esparteiro
Rafaela Cascaes
Raul Canedo
Rebeca Ribeiro
Ricardina Hilário
Roberta Valente
Ronaldo Rios
Roque Rijo
Roque Viegas
Rosalina Calheiros
Rosana Guará
Ruca Losada
Sabina Castilho
Sabino Lucas
Sabrina Zambujal
Salvador Melo
Salvador Pena
Sebastiana Figueiró
Selma Marinho
Selma Vilas-Boas
Sofia Meneses
Solano Paiacã
Sérgio Pinho
Tadeu Varela
Talita Festas
Tarrataca Teixeira
Tatiana Asunción
Tatiana Castillo
Taíssa Pavía
Teodorico Colares
Teodoro Thamily
Tibúrcio Rodovalho
Tobias Godoi
Tomásia Pessanha
Udo Machado
Ulisses Zarco
Ulrico Parreira
Uriel Passarinho
Valdemar Guedelha
Valdemar Infante
Valmor Capiperibe
Valéria Athayde
Valéria Canedo
Valéria Pessanha
Valério Villas Bôas
Vanderlei Benevides
Vanderlei Carvalhosa
Vanessa Canela
Vasco Inês
Veridiana Carreiro
Veridiano Dinis
Veridiano Rocha
Verônica   Galván
Verônica   Macieira
Virgília Dutra
Virgínia Marinho
Viriato Castelão
Viridiana Padilha
Vânia Avelar
Vítor ou Victor Bulhosa
Xavier Villanueva
Xénia Lages
Zara Cabrera
Zara Perdigão
Zeferino Passarinho
Zilda Juruna
Zoe Barbosa
Zubaida Mangueira
Zélia Velasco
Ágata Amaral
Ágata Outeiro
Álvaro Guimarães
Álvaro Magalhães
Ângela Felgueira
Ângelo Figueira
Érico Aleixo
Érico Villaça
Íris Leça
Úrsula Pozas
